Andong,안동시,NorthGyeongsang
Ansan,안산시,Gyeonggi
Anseong,안성시,Gyeonggi
Anyang,안양시,Gyeonggi
Asan,아산시,SouthChungcheong
Boryeong,보령시,SouthChungcheong
Bucheon,부천시,Gyeonggi
Busan,부산광역시,none
Changwon,창원시,SouthGyeongsang
Cheonan,천안시,SouthChungcheong
Cheongju,청주시,NorthChungcheong
Chuncheon,춘천시,Gangwon
Chungju,충주시,NorthChungcheong
Daegu,대구광역시,none
Daejeon,대전광역시,none
Dangjin,당진시,SouthChungcheong
Dongducheon,동두천시,Gyeonggi
Donghae,동해시,Gangwon
Gangneung,강릉시,Gangwon
Geoje,거제시,SouthGyeongsang
Gimcheon,김천시,NorthGyeongsang
Gimhae,김해시,SouthGyeongsang
Gimje,김제시,NorthJeolla
Gimpo,김포시,Gyeonggi
Gongju,공주시,SouthChungcheong
Goyang,고양시,Gyeonggi
Gumi,구미시,NorthGyeongsang
Gunpo,군포시,Gyeonggi
Gunsan,군산시,NorthJeolla
Guri,구리시,Gyeonggi
Gwacheon,과천시,Gyeonggi
Gwangju,광주광역시,none
Gwangju,광주시,Gyeonggi
Gwangmyeong,광명시,Gyeonggi
Gwangyang,광양시,SouthJeolla
Gyeongju,경주시,NorthGyeongsang
Gyeongsan,경산시,NorthGyeongsang
Gyeryong,계룡시,SouthChungcheong
Hanam,하남시,Gyeonggi
Hwaseong,화성시,Gyeonggi
Icheon,이천시,Gyeonggi
Iksan,익산시,NorthJeolla
Incheon,인천광역시,none
Jecheon,제천시,NorthChungcheong
Jeongeup,정읍시,NorthJeolla
Jeonju,전주시,NorthJeolla
Jeju,제주시,Jeju
Jinju,진주시,SouthGyeongsang
Naju,나주시,SouthJeolla
Namyangju,남양주시,Gyeonggi
Namwon,남원시,NorthJeolla
Nonsan,논산시,SouthChungcheong
Miryang,밀양시,SouthGyeongsang
Mokpo,목포시,SouthJeolla
Mungyeong,문경시,NorthGyeongsang
Osan,오산시,Gyeonggi
Paju,파주시,Gyeonggi
Pocheon,포천시,Gyeonggi
Pohang,포항시,NorthGyeongsang
Pyeongtaek,평택시,Gyeonggi
Sacheon,사천시,SouthGyeongsang
Sangju,상주시,NorthGyeongsang
Samcheok,삼척시,Gangwon
Sejong,세종특별자치시,none
Seogwipo,서귀포시,Jeju
Seongnam,성남시,Gyeonggi
Seosan,서산시,SouthChungcheong
Seoul,서울특별시,none
Siheung,시흥시,Gyeonggi
Sokcho,속초시,Gangwon
Suncheon,순천시,SouthJeolla
Suwon,수원시,Gyeonggi
Taebaek,태백시,Gangwon
Tongyeong,통영시,SouthGyeongsang
Uijeongbu,의정부시,Gyeonggi
Uiwang,의왕시,Gyeonggi
Ulsan,울산광역시,none
Wonju,원주시,Gangwon
Yangju,양주시,Gyeonggi
Yangsan,양산시,SouthGyeongsang
Yeoju,여주시,Gyeonggi
Yeongcheon,영천시,NorthGyeongsang
Yeongju,영주시,NorthGyeongsang
Yeosu,여수시,SouthJeolla
Yongin,용인시,Gyeonggi
